;title;publish_date;views_cnt;paragraph_cnt;images_cnt;strong_cnt;quote_cnt;list_cnt;list_items_cnt;url;r_flesch_grade;r_flesch_easy;r_liau;r_smog;r_auto;r_lix;level
775;СПбГПУ принял участие в образовательном форуме;2011-03-29;248;7;10;7;0;0;0;https://www.spbstu.ru/media/news/nauka_i_innovatsii/spbgpu_prinyal_uchastie_v_obrazovatelnom_forume_39341/;17.452551642730672;8.800473145780074;14.36181585677749;27.68370572883218;18.20665364941963;90.17922486720441;postgraduate
776;В СПБГПУ состоялось заседание по вопросам энергосбережения;2011-03-24;374;23;16;19;0;0;0;https://www.spbstu.ru/media/news/nauka_i_innovatsii/zasedanie_po_voprosam_energosberezheniya/;14.36404679549841;8.748972228488356;14.804421134421133;24.236447818241444;16.691075325212424;81.05332481138933;mixed
777;В  СПбГПУ состоялось заседание научно-методического совета по физике;2011-02-16;396;15;9;15;0;0;0;https://www.spbstu.ru/media/news/nauka_i_innovatsii/v_spbgpu_sostoyalos_zasedanie_nauchno_metodicheskogo_soveta_po_fizike/;14.17226437787011;18.467965230701964;12.524399008674102;23.194480983595206;14.690389405204463;80.11695458852685;mixed
778;Российские учёные создали новые фоточувствительные структуры;2011-02-07;256;8;0;1;0;0;0;https://www.spbstu.ru/media/news/nauka_i_innovatsii/rossiyskie_uchyenye_sozdali_novye_fotochuvstvitelnye_struktury/;15.266120218579236;-7.780886026541793;17.66453551912568;24.069565437566183;19.37909679937549;80.81654957064794;postgraduate
779;22 декабря в Санкт-Петербургском государственном политехническом университете прошёл Первый форум инженерных профессий;2010-12-24;1243;13;15;2;0;2;12;https://www.spbstu.ru/media/news/nauka_i_innovatsii/22_dekabrya_v_sankt_peterburgskom_gosudarstvennom_politekhnicheskom_universitete_proshyel_pervyy_for/;17.513439909723527;12.084877750611241;14.462176039119804;27.35537281590172;18.650976208388187;91.85273650554824;postgraduate
780;Конференция  посвященная 100-летию со дня рождения академика А.А. Воронова ;2010-12-09;297;9;6;0;0;0;0;https://www.spbstu.ru/media/news/nauka_i_innovatsii/konferentsiya_posvyashchennaya_100_letiyu_so_dnya_rozhdeniya_akademika_a_a_voronova/;14.887347670250893;13.608297491039394;11.117004608294934;26.97966352886307;13.167774961597537;80.7931387608807;mixed
781;Видеоконференция  членов  Платформы сотрудничества технических университетов метрополий стран Центральной и Восточной Европы;2010-12-01;461;30;6;2;0;1;3;https://www.spbstu.ru/media/news/nauka_i_innovatsii/videokonferentsiya_chlenov_platformy_sotrudnichestva_tekhnicheskikh_universitetov_metropoliy_stran_ts/;15.886876626868887;2.2198832956867705;17.19371732817038;24.95214716311293;19.84321532752501;88.49282564268043;postgraduate
782;Итоги двенадцатой всероссийской молодёжной  конференции по физике  полупроводников и наноструктур  полупроводниковой опто- и наноэлектронике;2010-11-13;843;47;10;33;0;0;7;https://www.spbstu.ru/media/news/nauka_i_innovatsii/itogi_dvenadtsatoy_vserossiyskoy_molodyezhnoy_konferentsii_po_fizike_poluprovodnikov_i_nanostruktur_/;28.042761528052463;-5.19740866035184;10.47277401894452;34.510439972190184;20.665278494847506;110.22910377849485;postgraduate
0;Лаборатория CAD/CAM-технологий;-1;3398;6;1;3;0;1;4;https://research.spbstu.ru/labs/laboratoriya_cam_tehnologiy/;21.733410852713174;-30.299108527131807;20.24267441860465;32.53447321413724;24.569720930232556;100.17829457364341;postgraduate
1;Лаборатория «Аэродинамическая труба»;-1;2867;10;1;6;0;4;16;https://research.spbstu.ru/labs/laboratoru_wind_tunnel/;14.715854460093897;0.8635680751173425;16.205211267605634;24.741998704033662;17.958546478873238;84.77840375586855;postgraduate
2;Лаборатория «Градиентная теплометрия»;-1;1659;5;1;3;0;4;15;https://research.spbstu.ru/labs/laboratory_gradient_thermometry/;17.02557264957265;-5.939700854700845;16.48623931623932;28.286380787912606;19.129682905982904;95.1948717948718;postgraduate
3;Лаборатория «Инженерное компьютерное моделирование и расчеты на прочность»;-1;3465;7;2;4;0;3;9;https://research.spbstu.ru/labs/laboratoriya_inzghenernoe_komputernoe_modelirovanie_i_raschetu_na_prochnost/;10.385580845403485;16.75353384569908;13.742864321608039;19.108908678095922;14.427721105527645;75.52497783032811;postgraduate
4;Лаборатория «Компрессорная вакуумная холодильная техника и пневмосистемы»;-1;2883;7;2;4;0;3;9;https://research.spbstu.ru/labs/laboratoriya_kompressornaya_vakuumnaya_holodilnaya_tehnika_i_pnevmosistemu/;9.932284592284592;11.825390390390396;14.913243243243244;16.920222590600584;16.1337772002772;73.1030261030261;mixed
5;Лаборатория «Тепловые насосы»;-1;918;10;1;4;0;2;6;https://research.spbstu.ru/labs/laboratory_heat_pump/;13.886833333333335;-4.705833333333317;18.1075;22.064295355518425;19.514477777777778;86.62222222222223;postgraduate
6;Лаборатория «Теплообмен в двигателе внутреннего сгорания»;-1;1040;6;1;4;0;5;12;https://research.spbstu.ru/labs/laboratory_heat_exchange/;12.786046511627909;4.174534883720952;17.007209302325585;21.096155626780554;18.256313953488373;91.07751937984496;postgraduate
